id,settore,fornitore,codice,descrizione,collocazione,cespite,quantita,in_uso,unita,prezzo,note
21125,Elettrico-Elettronico,,,"POTENZIOMETRO LINEARE 47 K? 1/2W",U3,,15,0,,1.18000,
21124,Elettrico-Elettronico,,,"POTENZIOMETRO LINEARE 4,7 K? 1/2W",U3,,15,0,,1.10000,
21123,Elettrico-Elettronico,,,"POTENZIOMETRO LINEARE 220 K? 1/2W",U3,,15,0,,1.10000,
21122,Elettrico-Elettronico,,,"POTENZIOMETRO LINEARE 2,2 K? 1/2W",U3,,15,0,,0.97000,
21121,Elettrico-Elettronico,,,"POTENZIOMETRO LINEARE 10 M? 1/2W",U3,,15,0,,0.97000,
21120,Elettrico-Elettronico,,,"POSTO ESTERNO AMPLIFICATO PER CITOFONIA TIPO URMET 5150/500",H2,,5,0,,41.59000,
21119,Elettrico-Elettronico,,,"POSTO ESTERNO AMPLIFICATO PER CITOFONIA TIPO URMET 5150/2",G2,,8,0,,41.59000,
21118,Elettrico-Elettronico,,,"POSTO ESTERNO AMPLIFICATO PER CITOFONIA TIPO COMELIT A716",I1,,9,0,,41.59000,
21117,Elettrico-Elettronico,,,"PORTATARGHETTA PER CONTATTORE DI POTENZA TIPO TMQ GRIGIO LA9 (CONF 100 PZ)",P3,,4,0,,0.02000,
21116,Elettrico-Elettronico,,,"PORTASTARTER IN PLASTICA BIANCO CON VITI",F1,,63,0,,0.77000,
21115,Elettrico-Elettronico,,,"PORTASCHEDE IN FERRO PER ESERCITAZIONI ELETTRONICA IN SCATOLA TRASORTO",V0,,22,0,,5.16000,
21113,Elettrico-Elettronico,,,"PORTASALDATORE IN LAMIERA PER ESERCITAZIONI ELETTRONICA IN SCATOLA TRASORTO",U0,,22,0,,3.84000,
21112,Elettrico-Elettronico,,,"PORTASALDATORE IN LAMIERA PER ESERCITAZIONI ELETTRONICA",V0,,0,0,Scatola,1.32000,
21111,Elettrico-Elettronico,,,"PORTALED Ø 5MM",U3,,50,0,,0.07000,
21110,Elettrico-Elettronico,,,"PORTALED COMPONIBILE Ø 6MM",U3,,50,0,,0.14000,
21109,Elettrico-Elettronico,,,"PORTALAMPADA VOLANTE E27 IN PLASTICA NERO",E1,,27,0,,1.07000,
21108,Elettrico-Elettronico,,,"PORTALAMPADA VOLANTE E27 IN PASTICA NERO CABLATO CON SPINA 10/16A PER PROVA DI  ESERCITAZIONI",V1,,5,0,,1.32000,
21106,Elettrico-Elettronico,,,"PORTALAMPADA VOLANTE E14 IN PASTICA NERO CABLATO PER PROVA DI  ESERCITAZIONI",V1,,2,0,,1.07000,
21105,Elettrico-Elettronico,,,"PORTALAMPADA G13 A VITE PER TUBI FLUORESCENTI",F1,,76,0,,1.44000,
21104,Elettrico-Elettronico,,,"PORTALAMPADA G10Q PER LAMPADE FLUORESCENTI ",E1,,50,0,,1.44000,
21103,Elettrico-Elettronico,,,"PORTALAMPADA G/GY PER LAMPADE ALOGENE ",E1,,50,0,,2.88000,
21102,Elettrico-Elettronico,,,"PORTALAMPADA E27 IN CERAMICA BIANCO CON STAFFETTA DI FISSAGGIO",E1,,26,0,,2.76000,
21101,Elettrico-Elettronico,,,"PORTALAMPADA E27 IN CERAMICA BIANCO",E1,,15,0,,1.10000,
21100,Elettrico-Elettronico,,,"PORTALAMPADA E14 IN CERAMICA BIANCO MONTATO SU SCATOLA TONDA",E1,,52,0,,1.10000,
21099,Elettrico-Elettronico,,,"PORTALAMPADA E14 IN CERAMICA BIANCO",E1,,18,0,,1.07000,
21098,Elettrico-Elettronico,,,"PORTAFUSIBILE VOLANTE IN PLASTICA NERO PER FUSIBILI 5X20",V2,,46,0,,1.07520,
21097,Elettrico-Elettronico,,,"PORTAFUSIBILE 1P PER FUSIBILI 5X20 E 6,3X32 TIPO VIMAR 8370",D3,,50,0,,5.59000,
21096,Elettrico-Elettronico,,,"PORTACARTELLINO NERO X CANALINE ASOLATE IN PLASTICA TIPO IBOCO DUCTAMARK1 07501 ",N1,,520,0,,0.96000,
21095,Elettrico-Elettronico,,,"PORTABATTERIA PER PILE 9 V A CLIPS CON ATTACCO CAVETTI",V1,,26,0,,3.96000,
21094,Elettrico-Elettronico,,,"PORTABATTERIA PER 4 PILE 1,5 V STILO IN LINEA IN PLASTICA NERO CON ATTACCO CLIPS",V1,,24,0,,3.84000,
21093,Elettrico-Elettronico,,,"PORTABATTERIA PER 2 PILE 1,5 V STILO IN LINEA IN PLASTICA NERO CON ATTACCO CAVETTI",V1,,7,0,,2.64000,
21092,Elettrico-Elettronico,,,"PORTA FUSIBILE MICROVETRO PER CS",W1,,22,0,,1.48000,
21091,Elettrico-Elettronico,,,"PORTA FUSIBILE MICROVETRO  DA PANNELLO",W1,,40,0,,0.55000,
21090,Elettrico-Elettronico,,,"PONTICELLO PER COLLEGAMENTO 10 MORSETTI WDU-WDK TIPO WEID WQV2,5/10",M1,,48,0,,0.55000,
21089,Elettrico-Elettronico,,,"PONTICELLO PER COLLEGAMENTO 10 MORSETTI SAK/DK",N1,,148,0,,0.53000,
